Frequency(Hz), Magnitude(ohm), Phase(deg)
520.570, 12.583, 52.209
528.131, 13.212, 52.600
535.803, 13.851, 52.932
543.586, 14.538, 52.998
551.482, 15.360, 52.925
559.492, 16.360, 52.968
567.619, 17.408, 52.469
575.864, 18.683, 51.360
584.229, 20.048, 50.414
592.716, 21.624, 48.358
601.325, 23.411, 45.820
610.060, 25.179, 42.610
618.921, 27.210, 39.040
627.912, 29.051, 34.457
637.032, 31.097, 28.453
646.286, 32.767, 22.441
655.673, 33.777, 15.036
665.198, 33.687, 7.400
674.860, 32.236, -0.019
684.663, 30.450, -2.380
694.608, 32.142, -6.398
704.698, 32.450, -15.866
714.934, 29.366, -24.632
725.319, 26.240, -29.040
735.855, 23.529, -32.540
746.543, 21.335, -34.510
757.387, 19.506, -35.804
768.389, 17.999, -36.276
779.550, 16.721, -36.266
790.874, 15.643, -37.092
802.362, 14.633, -36.509
814.017, 13.905, -36.140
825.841, 13.108, -35.529
837.837, 12.447, -34.682
850.007, 11.889, -33.805
862.354, 11.453, -32.762
874.880, 11.043, -31.504
887.588, 10.697, -30.668
900.481, 10.287, -29.626
913.561, 9.992, -28.581
926.831, 9.694, -27.265
940.294, 9.434, -25.679
953.953, 9.213, -24.615
967.810, 9.034, -23.114
981.868, 8.855, -22.062
996.130, 8.705, -20.716
1010.599, 8.574, -19.059
1025.279, 8.475, -17.672
1040.172, 8.349, -16.513
1055.281, 8.316, -14.852
1070.610, 8.281, -13.609
1086.161, 8.255, -12.232
1101.938, 8.231, -11.017
1117.945, 8.223, -9.941
1134.184, 8.211, -8.588
1150.659, 8.230, -7.303
1167.373, 8.261, -6.054
1184.330, 8.314, -4.989
1201.533, 8.363, -4.029
1218.986, 8.419, -2.973
1236.693, 8.498, -1.975
1254.656, 8.601, -1.003
1272.881, 8.702, -0.256
1291.370, 8.818, 0.705
1310.129, 8.987, 1.362
1329.159, 9.137, 1.798
1348.466, 9.300, 2.222
1368.053, 9.467, 2.743
1387.925, 9.716, 2.906
1408.086, 9.875, 2.771
1428.539, 10.072, 2.843
1449.290, 10.310, 2.539
1470.342, 10.524, 1.981
1491.700, 10.727, 1.335
1513.367, 10.907, 0.445
1535.350, 11.039, -0.642
1557.652, 11.182, -1.630
1580.278, 11.307, -2.957
1603.233, 11.338, -4.452
1626.521, 11.283, -5.721
1650.147, 11.204, -6.836
1674.117, 11.156, -7.643
1698.434, 10.986, -8.763
1723.105, 10.882, -8.943
1748.135, 10.812, -9.433
1773.527, 10.691, -10.321
1799.289, 10.567, -10.405
1825.425, 10.449, -10.439
1851.941, 10.368, -11.089
1878.841, 10.111, -10.359
1906.133, 10.228, -9.835
1933.821, 10.224, -10.031
1961.911, 10.179, -9.868
1990.409, 10.222, -9.569
2019.321, 10.332, -10.178
2048.653, 10.237, -9.958
2078.411, 10.475, -9.939
2108.602, 10.574, -11.024
