Frequency(Hz), Magnitude(ohm), Phase(deg)
520.570, 10.105, -0.046
528.131, 10.106, -0.026
535.803, 10.105, -0.017
543.586, 10.106, -0.035
551.482, 10.105, -0.086
559.492, 10.103, 0.010
567.619, 10.113, -0.035
575.864, 10.104, -0.015
584.229, 10.114, -0.051
592.716, 10.099, -0.039
601.325, 10.102, 0.000
610.060, 10.111, -0.095
618.921, 10.106, -0.047
627.912, 10.106, -0.062
637.032, 10.102, -0.030
646.286, 10.107, -0.056
655.673, 10.102, -0.081
665.198, 10.115, -0.034
674.860, 10.104, -0.034
684.663, 10.114, -0.029
694.608, 10.100, -0.083
704.698, 10.103, -0.062
714.934, 10.101, -0.095
725.319, 10.108, 0.031
735.855, 10.106, -0.048
746.543, 10.109, -0.022
757.387, 10.109, -0.073
768.389, 10.108, -0.086
779.550, 10.104, -0.072
790.874, 10.100, -0.057
802.362, 10.096, -0.012
814.017, 10.107, 0.002
825.841, 10.089, -0.037
837.837, 10.105, -0.040
850.007, 10.109, 0.049
862.354, 10.100, -0.081
874.880, 10.114, -0.050
887.588, 10.108, 0.020
900.481, 10.108, -0.044
913.561, 10.103, -0.041
926.831, 10.097, -0.018
940.294, 10.100, -0.061
953.953, 10.110, -0.076
967.810, 10.101, 0.003
981.868, 10.095, -0.054
996.130, 10.107, -0.037
1010.599, 10.092, -0.023
1025.279, 10.091, -0.047
1040.172, 10.092, -0.018
1055.281, 10.084, -0.060
1070.610, 10.102, -0.056
1086.161, 10.097, -0.053
1101.938, 10.095, -0.027
1117.945, 10.096, -0.061
1134.184, 10.097, -0.046
1150.659, 10.098, -0.028
1167.373, 10.095, -0.029
1184.330, 10.090, -0.047
1201.533, 10.089, -0.029
1218.986, 10.088, -0.055
1236.693, 10.095, -0.066
1254.656, 10.086, -0.050
1272.881, 10.079, -0.045
1291.370, 10.084, -0.018
1310.129, 10.083, -0.042
1329.159, 10.086, -0.056
1348.466, 10.092, -0.067
1368.053, 10.095, -0.039
1387.925, 10.097, -0.030
1408.086, 10.087, -0.043
1428.539, 10.087, -0.031
1449.290, 10.077, -0.037
1470.342, 10.085, -0.033
1491.700, 10.082, -0.037
1513.367, 10.080, -0.043
1535.350, 10.078, -0.034
1557.652, 10.079, -0.066
1580.278, 10.082, -0.035
1603.233, 10.077, -0.057
1626.521, 10.080, -0.057
1650.147, 10.082, -0.050
1674.117, 10.078, -0.023
1698.434, 10.068, -0.046
1723.105, 10.068, -0.006
1748.135, 10.075, 0.018
1773.527, 10.075, -0.015
1799.289, 10.072, -0.009
1825.425, 10.076, 0.023
1851.941, 10.073, 0.029
1878.841, 10.068, -0.007
1906.133, 10.073, 0.004
1933.821, 10.071, 0.010
1961.911, 10.061, 0.054
1990.409, 10.060, -0.007
2019.321, 10.059, -0.019
2048.653, 10.057, 0.040
2078.411, 10.062, 0.052
2108.602, 10.060, 0.022
2139.230, 10.060, 0.034
2170.304, 10.051, 0.016
2201.829, 10.054, 0.053
2233.813, 10.049, 0.063
2266.260, 10.049, 0.072
2299.179, 10.055, 0.040
2332.576, 10.053, 0.058
2366.458, 10.053, 0.037
2400.833, 10.051, 0.062
2435.707, 10.046, 0.103
2471.087, 10.043, 0.072
2506.981, 10.047, 0.099
2543.397, 10.045, 0.096
2580.342, 10.042, 0.079
2617.823, 10.042, 0.100
2655.848, 10.035, 0.120
2694.426, 10.031, 0.108
2733.565, 10.037, 0.131
2773.272, 10.028, 0.141
2813.555, 10.027, 0.138
2854.424, 10.027, 0.153
2895.887, 10.024, 0.188
2937.951, 10.023, 0.180
2980.627, 10.029, 0.192
3023.923, 10.023, 0.172
3067.847, 10.018, 0.229
3112.410, 10.018, 0.194
3157.620, 10.018, 0.178
3203.487, 10.017, 0.261
3250.019, 10.012, 0.203
3297.228, 10.021, 0.258
3345.123, 10.013, 0.277
3393.713, 10.009, 0.280
3443.009, 10.011, 0.298
3493.021, 10.006, 0.279
3543.760, 10.002, 0.311
3595.235, 9.997, 0.336
3647.458, 10.005, 0.357
3700.440, 9.996, 0.341
3754.192, 9.990, 0.374
3808.724, 9.995, 0.373
3864.048, 9.994, 0.354
3920.176, 9.995, 0.379
3977.119, 9.990, 0.422
4034.890, 9.984, 0.468
4093.499, 9.972, 0.495
4152.960, 9.980, 0.511
4213.285, 9.979, 0.526
4274.485, 9.981, 0.514
4336.576, 9.973, 0.519
4399.567, 9.966, 0.579
4463.474, 9.966, 0.580
4528.309, 9.966, 0.595
4594.086, 9.969, 0.638
4660.818, 9.966, 0.639
4728.520, 9.960, 0.614
4797.205, 9.952, 0.707
4866.887, 9.956, 0.735
4937.582, 9.959, 0.730
5009.304, 9.950, 0.752
5082.067, 9.952, 0.702
5155.888, 9.945, 0.759
5230.781, 9.946, 0.752
5306.762, 9.945, 0.873
5383.846, 9.949, 0.892
5462.050, 9.944, 0.872
5541.390, 9.934, 0.960
5621.883, 9.936, 1.026
5703.544, 9.936, 0.951
5786.392, 9.934, 1.027
5870.443, 9.933, 1.002
5955.716, 9.934, 1.067
6042.227, 9.931, 1.126
6129.994, 9.928, 1.114
6219.037, 9.923, 1.168
6309.372, 9.932, 1.187
6401.021, 9.915, 1.222
6494.000, 9.915, 1.273
6588.329, 9.910, 1.329
6684.029, 9.920, 1.349
6781.120, 9.913, 1.374
6879.620, 9.909, 1.411
6979.551, 9.908, 1.417
7080.934, 9.913, 1.435
7183.790, 9.900, 1.461
7288.139, 9.904, 1.542
7394.004, 9.908, 1.577
7501.407, 9.892, 1.629
7610.370, 9.896, 1.637
7720.916, 9.907, 1.720
7833.067, 9.900, 1.760
7946.848, 9.882, 1.776
8062.282, 9.903, 1.889
8179.392, 9.888, 1.870
8298.203, 9.891, 1.870
8418.740, 9.888, 1.927
8541.028, 9.875, 2.029
8665.093, 9.882, 1.992
8790.959, 9.884, 2.067
8918.654, 9.885, 2.084
9048.203, 9.880, 2.187
9179.635, 9.880, 2.257
9312.976, 9.867, 2.246
9448.253, 9.870, 2.307
9585.495, 9.866, 2.391
9724.730, 9.867, 2.394
9865.989, 9.881, 2.466
10009.300, 9.867, 2.509
10154.691, 9.863, 2.569
10302.195, 9.872, 2.637
10451.842, 9.858, 2.695
10603.662, 9.857, 2.713
10757.688, 9.858, 2.833
10913.950, 9.868, 2.878
11072.483, 9.859, 2.925
11233.318, 9.850, 2.985
11396.490, 9.854, 2.976
11562.032, 9.849, 3.086
11729.979, 9.851, 3.171
11900.364, 9.848, 3.225
12073.226, 9.848, 3.236
12248.598, 9.839, 3.303
12426.517, 9.852, 3.393
12607.021, 9.839, 3.437
12790.146, 9.837, 3.504
12975.932, 9.835, 3.570
13164.416, 9.840, 3.722
13355.639, 9.836, 3.740
13549.639, 9.841, 3.734
13746.456, 9.837, 3.823
13946.133, 9.835, 3.912
14148.710, 9.826, 4.039
14354.229, 9.827, 4.051
14562.734, 9.824, 4.136
14774.269, 9.834, 4.266
14988.875, 9.819, 4.320
15206.599, 9.833, 4.360
15427.485, 9.823, 4.503
15651.580, 9.818, 4.491
15878.930, 9.821, 4.589
16109.582, 9.816, 4.704
16343.585, 9.814, 4.777
16580.986, 9.818, 4.892
16821.838, 9.819, 4.910
17066.186, 9.816, 5.054
17314.084, 9.809, 5.094
17565.582, 9.810, 5.218
17820.734, 9.810, 5.302
18079.594, 9.806, 5.413
18342.213, 9.810, 5.453
18608.645, 9.808, 5.567
18878.949, 9.803, 5.767
19153.178, 9.802, 5.761
19431.391, 9.807, 5.918
19713.646, 9.805, 5.999
20000.000, 9.792, 6.439
